lamentation and despair are M 92
laboratory for research and D 1434
laboratory for culture and D 1374
landowners and farmers who D 674
laboratory has carried out D 560
laboratory was carried out D 422
landowners and tenants and D 418
landscapes with figures and D 389
landscaped and planted with D 378
landscaped with flowers and D 360
landscapes and gardens for D 350
landowners and tenants who D 330
landowners and farmers and D 308
landowners and farmers had D 284
landowners and peasants who D 254
laboratory are carried out D 238
landowners and peasants and D 226
laboratory for language and D 218
laboratory has revealed that D 211
landscapes and figures and D 210
landowners and farmers was D 204
laboratory and carried out D 204
landscapes are painted with D 200
landowners and farmers are D 200
landowners and tenants was D 198
laboratory and library and D 186
laboratory for physics and D 184
landowners and tenants are D 182
landowners and farmers with D 172
landowners and farmers for D 170
landowners and tenants had D 162
landscapes and figures are D 156
landscapes and flowers and D 151
landowners and peasants had D 148
landscaped with gardens and D 138
landowners and traders who D 134
laboratory and seminar for D 132
landscapes that ancient art D 128
laboriously put together and D 128
landscapes with animals and D 121
landscapes and buildings and D 120
landowners and tenants with D 116
laboratory for general use D 116
landscapes and animals and D 96
landowners and tenants for D 92
laboratory was charged with D 90
landowners and peasants was D 86
laboratory for teachers and D 86
landscapes are infused with D 84
laboratory for himself and D 84
landowners and peasants are D 80
landscapes and buildings that D 51
landowners and farmers that D 44
landowners who claimed that D 40
