lamentation and complaint against M 195
laboratory and diagnostic studies D 2772
laboratory for planetary studies D 1070
laboratory for political research D 1038
laboratory for insulation research D 950
laboratory and theoretical studies D 743
laboratory for psychical research D 483
laboratory for biological research D 400
laboratory for cognitive studies D 250
laboratory for infectious diseases D 224
laboratory and classroom studies D 164
laboratory and simulation studies D 140
laboratory and theoretical research D 138
laboriously and carefully wrought D 132
laboratory for theoretical physics D 128
landowners and commercial farmers D 120
landscapes and landforms develop D 118
landowners and gentlemen farmers D 116
laboratory and naturally occurring D 104
laboratory and industrial studies D 104
laboratory and numerical studies D 101
laboratory for industrial research D 94
