pages done numbered numbered M 471
parts into finished products M 460
pairs were randomly assigned M 344
pairs were randomly selected M 182
party from presenting evidence M 166
party most directly affected M 124
passing some humorous judgment M 114
parts most severely affected M 110
paper also provides evidence M 98
party will probably continue M 96
party will unceasingly continue M 88
parts most commonly affected D 800
pains from unlearned drudgery D 390
paint some possible distress D 166
party were reckoned powerful D 162
parts most commonly attacked D 122
paint such beautiful pictures D 116
parts most commonly involved D 96
party were cordially received D 90
parts want dramatic evolution D 90
party were escorted homeward D 80
