gladness beats through the M 178
glimpses were caught of D 906
glittering like silver in D 552
glistening like silver in D 514
gladsome mind praise the D 464
glimpsed only through the D 374
glittering eyes seemed to D 322
glittering like jewels in D 302
glittering halo around the D 288
glaciers were formed in D 234
glistening like jewels in D 200
glistening eyes turned up D 191
glimpsed what seemed to D 172
glimpses only served to D 166
glittering like scraps of D 146
glistening eyes seemed to D 146
glittering blue waters of D 136
glittering vein through the D 132
glistening blue waters of D 126
glimmering down through the D 126
glittering like shards of D 124
globules pass through the D 122
glitters along through the D 118
glycogen also occurs in D 116
glimpsed there through the D 114
gladiator born beside the D 110
glimpses from behind the D 106
glaciers were formed on D 104
glycerol ether lipids of D 100
glistening from trucks to D 100
glistening eyes fondly on D 92
glimmering pale through the D 92
glittering like sparks of D 90
glaucoma from swelling of D 90
glaciers have carved the D 84
glaciers were unable to D 82
globules were placed in D 80
glittering down through the D 80
glimpsed from behind the D 80
glaciers none seemed so D 80
glimpses into regions of D 43
glistens like silver in D 40
