hoped from their conversation M 334
hours have been accumulated M 312
hours have been established M 204
holding back their development M 136
hours have been recommended M 124
holes have been constructed M 96
house have been constructed M 84
house have been established M 82
homes have been established D 1424
homes have been constructed D 948
hopes have been entertained D 944
house uses five legislative D 332
hopes were also entertained D 272
hopes were even entertained D 190
homes have been burglarized D 178
homes have been transformed D 174
hopes were once entertained D 172
housing have been constructed D 144
house went into foreclosure D 143
house much more comfortable D 136
homes were more comfortable D 108
holding those vast territories D 104
hotel when making reservations D 98
housing have been established D 86
