horrible deed was committed M 96
hospital beds and physicians D 818
hospital from its foundation D 758
hospital care and physicians D 638
hospital beds are available D 572
hospital beds per population D 380
hospital beds and equipment D 229
hospital meet this obligation D 214
hospital stay and mortality D 210
hospital care and community D 182
hospital stay was shortened D 172
hospital room that afternoon D 150
hospital late that afternoon D 150
homemade jams and preserves D 127
hospital care was necessary D 126
hospital beds and personnel D 124
hospital care for indigents D 118
honestly think any publisher D 108
homemade bread and preserves D 107
hospital stay for maternity D 100
hospital care for maternity D 98
hospital stay and morbidity D 97
hospital care was available D 96
holidays were now approaching D 96
horseman made his appearance D 92
holistic health and spiritual D 92
holdover from his childhood D 90
holdover from her childhood D 89
hopeless sloth had slumbered D 86
hosannas will not terminate D 84
hospital late one afternoon D 82
horrible fears and confusions D 80
holistic health and biomedical D 62
hospital stay and discharge D 55
hospital stay for childbirth D 45
homestead land was available D 45
