horrible a tale for M 80
honestly i have not D 654
hospital a week ago D 562
hospital a great deal D 290
hospital a month ago D 263
honestly i think you D 240
hopeless a task they D 228
horseman i ever saw D 223
hospital a week and D 176
hospital a month and D 174
hospital i have not D 142
honestly i will not D 134
horsemen i ever saw D 128
holidays i told you D 122
hospital i told him D 120
honestly i feel that D 120
hospital a good deal D 116
holidays i have had D 114
hospital a free man D 110
hospital a young man D 108
hospital i have had D 100
holidays i went with D 100
hospital i will not D 92
homework i want you D 92
homestead i find one D 86
holidays i ever had D 86
holidays i dare say D 82
honestly i think that D 53
