horrible must have happened M 344
homeless among poor families M 182
holiness were much increased M 119
horribly some other innocent M 86
hormones have been isolated D 1742
hormones have been reported D 918
hospital beds were occupied D 632
hormones have been observed D 382
hospital home health services D 358
hormones have been obtained D 326
horizons have been expanded D 300
hospital have been valuable D 268
hormones have been detected D 260
hormones have been proposed D 256
hormones have been prepared D 248
horizons have been extended D 234
hospital stay when compared D 192
horizons have been explored D 184
holistic health care movement D 178
hormones have been produced D 146
hominids from other primates D 144
hostages from their families D 138
hormones have been reviewed D 130
hospital beds were provided D 126
hormones your body produces D 124
hospital health care services D 122
hormones have been purified D 122
horizons have been observed D 122
hormones have been employed D 114
hospital care have increased D 98
hospital beds have increased D 98
horizons have been enlarged D 96
horsemen were riding furiously D 94
hospital have been reported D 90
hospital have been attacked D 90
horizons have been reported D 86
homicide into three distinct D 86
hospital care were provided D 84
horribly from some loathsome D 80
