image used with permission M 538
image into its component M 422
image from his childhood M 318
image from her childhood M 160
image data are processed M 152
image from two different M 148
image data are collected M 141
image data are available M 138
image lost its intensity M 136
image made its appearance M 114
image owes its existence M 108
image among its customers M 98
image during eye movements M 92
image data are displayed M 85
image size and resolution D 1450
impinge upon and influence D 486
image size and disparity D 184
impinge upon our awareness D 100
image from being tarnished D 96
image size and placement D 94
imaging data are available D 44
