valuable gifts were received M 92
variations which have occurred D 666
variables which were included D 544
variations which have attended D 312
variables which were selected D 272
variables which have received D 210
variables which were examined D 204
variables which were expected D 198
variables might have affected D 172
variations which were observed D 142
variations which have resulted D 130
variables which were analyzed D 124
variables would have resulted D 110
variables which have affected D 110
variables could have affected D 108
valuable study tool includes D 106
variations could have occurred D 104
variables would have required D 104
variables could have occurred D 102
variables which have positive D 98
variables which will maximize D 86
variables which were believed D 84
variables which were assessed D 80
