vaguely worded statement that M 40
vaginal bleeding associated with D 586
variation across countries and D 573
variable metric algorithms for D 219
variable values associated with D 200
vaulted temple resounded with D 190
vaginal changes associated with D 184
vaginal mucous membranes are D 166
variable across countries and D 144
variable varies inversely with D 132
vaginal mucous membranes and D 124
vaccine became available for D 122
vaginal mucous membranes may D 90
variance already accounted for D 69
