freely discover whatever they M 98
friend recently remarked that M 89
frames specially designed for M 45
french republic declared war D 1122
french cultural politics and D 628
french immersion programs for D 398
french military officers and D 394
french republic declares that D 366
french domestic politics and D 366
french literary historian and D 314
french officials believed that D 275
french literary tradition and D 274
french bourgeois historian and D 238
french immersion programs are D 226
french socialist movement and D 220
french socialist movement was D 212
french aircraft industry was D 206
french military presence was D 202
french military officers who D 196
french minister declared that D 186
french military presence and D 176
french infantry divisions and D 170
french immersion programs and D 170
french officials declared that D 164
french cultural heritage and D 158
french internal politics and D 148
french domestic politics was D 142
french military planners had D 138
french chemical industry was D 138
french assembly declared war D 138
french socialism combined with D 134
french squadron destined for D 132
french economic relations with D 132
french squadron anchored off D 124
french military strategy was D 122
french military advisers and D 122
french generals believed that D 122
french officers grimaced and D 120
french military doctrine and D 118
french officials insisted that D 115
french military doctrine was D 112
french socialist movement had D 108
french minister reported that D 108
french metrical romances and D 108
french absolute monarchy and D 106
french cultural identity and D 104
french socialist movement led D 102
french officers believed that D 102
french monarchy shivered and D 102
french chemical industry and D 102
french cultural tradition and D 100
french republic provided for D 98
french aerospace industry and D 96
french military strategy and D 94
french military engineers and D 92
french dominions actually lay D 92
french armament destined for D 92
french squadron departed for D 88
french military engineers who D 88
freezing numbness stiffens all D 88
friend casually mentioned that D 84
french military tradition and D 84
french military officers had D 84
french aircraft industry had D 84
french feminist movement was D 82
french minister insisted that D 80
french catholics believed that D 40
