frustration through restriction of M 206
frequently almost impossible to D 656
frequently voiced criticisms of D 550
frequently quoted description of D 390
frequently causes difficulty in D 180
frequently become interested in D 168
frequently quoted definitions of D 154
frequently neither convenient to D 146
frequently proved impossible to D 136
frequently proved successful in D 132
frequently stated objectives of D 126
frequently submit amendments to D 116
frequently quoted statements of D 102
frequently thought convenient to D 86
frequently quoted formulation of D 80
