friend immediately made him M 84
french government will not D 1478
french government were not D 1142
french resistance must not D 898
french government made him D 896
french government gave him D 750
french authorities were not D 708
french government sent out D 650
french government felt that D 540
french government gave its D 408
french literature lost all D 392
french government sent him D 380
french government were now D 334
french government from its D 324
french ambassador said that D 318
french government said that D 311
french government knew that D 270
french government gave way D 260
french government also had D 252
french government have not D 246
french politicians were not D 238
french translation came out D 229
french government upon this D 216
french government know that D 206
french authorities have not D 206
french decorative arts and D 200
french government took this D 192
french government made use D 182
french authorities will not D 182
french scientists were not D 174
french government held that D 170
french literature from its D 166
french government made its D 160
french ambassador upon that D 154
french ambassador says that D 154
french government will see D 144
french government gave them D 142
french authorities when they D 140
french government more than D 132
french ambassador here has D 132
french commanders were not D 130
french government have now D 128
french literature dealing with D 124
french literature there are D 122
french literature during this D 120
french government paid for D 114
french statistics show that D 113
french government have had D 112
french government there was D 110
french government fell and D 108
french government used its D 106
freely ministered unto them D 104
framed photograph from his D 101
french government giving her D 100
french government during this D 99
french government must not D 98
french government made her D 98
french ambassador here with D 98
french government sued for D 96
french authorities were led D 96
french newspapers were not D 94
frowning providence there was D 92
french afterwards gave out D 92
french investment fund for D 90
french government sent two D 90
french government sent its D 90
french government held out D 90
freeze immediately when they D 89
french literature more than D 88
french ambassador told his D 88
french authorities felt that D 84
french ambassador told him D 84
french ambassador there and D 84
french ambassador made his D 84
french translation made for D 82
french revolutions were not D 82
french government along with D 82
french ambassador told her D 82
french restaurant just off D 80
french communists were not D 62
