humor is emotional chaos M 280
human or computer error M 227
hurry of business which M 112
hunting or pastoral stage D 170
hunting of mountain sheep D 158
hunting of ravenous beasts D 154
hulls of merchant ships D 140
hulls of capsized ships D 122
human or economic terms D 120
hugging the opposite shore D 120
hunch or educated guess D 118
human or financial terms D 112
human ear embraces about D 108
hunger of ambitious minds D 98
human or possibly supra D 96
hurry of business would D 92
hunting of mountain goats D 90
