on following page figure M 6224
on receiving your letter M 3575
on private land claims M 3437
on material from another M 2348
on several other points M 2245
on returning from church M 2050
on returning from school M 1650
on several other issues M 1626
on central bank credit M 1192
on certain other points M 1138
on receiving such notice M 962
on average have higher M 941
on private land without M 906
on receiving these orders M 892
on outcome from severe M 890
on matters coming before M 840
on returning from abroad M 819
on exchange rate changes M 804
on finishing high school M 752
on several other counts M 742
on society from without M 682
on several days before M 678
on average much higher M 661
on receiving their report M 638
on several other topics M 630
on average much larger M 586
on occasion been called M 540
on average more likely M 504
on borrowing from abroad M 461
on certain other issues M 424
on receiving such report M 418
on several years before M 405
on increasing their number M 372
on balance more likely M 364
on returning from battle M 356
on exchange rate issues M 350
on several other pieces M 340
on certain main points M 340
on exactly what should M 334
on animals have proved M 306
on everything from choosing M 270
on certain other assets M 268
on everything from public M 262
on support from abroad M 260
on together well enough M 256
on certain days before M 256
on capital from abroad M 250
on material from earlier M 249
on central high school M 248
on private land should M 240
on general health issues M 240
on support from family M 237
on comparing their latest M 236
on improving your memory M 232
on equally well without M 230
on samples from various M 226
on patient care issues M 224
on current health issues M 224
on certain host plants M 224
on present over future M 221
on shorter time periods M 220
on comparing these values M 220
on certain days without M 218
on arrival from abroad M 214
on company time without M 212
on returning from market M 208
on objects moving through M 208
on everything from whether M 208
on average much younger M 206
on against their fellow M 206
on certain very special M 204
on receiving your orders M 198
on decision making bodies M 198
on asserting their rights M 197
on several host plants M 196
on everything from family M 195
on occasion been forced M 194
on material from various M 194
on certain great points M 192
on request made before M 190
on surface free energy M 188
on current city planning M 186
on several main points M 182
on several days without M 178
on excluding other causes M 178
on several other nights M 177
on everything from school M 176
on advance care planning M 175
on certain core values M 174
on average much better M 171
on several other plants M 170
on receiving your answer M 170
on everything from clothes M 170
on everything from building M 169
on research into methods M 168
on average less likely M 166
on increasing land values M 164
on average body weight M 156
on account from various M 156
on general health topics M 154
on request from another M 152
on answering your letter M 152
on results from animal M 151
on average more highly M 151
on studies from nature M 150
on certain dark nights M 150
on receiving their answer M 148
on charity from abroad M 148
on matters laid before M 146
on results from earlier M 140
on average have larger M 140
on several other groups M 138
on occasion into something M 138
on certain other topics M 138
on average only around M 138
on occasion have served M 136
on strongly held values M 135
on freedom from stress M 135
on several years earlier M 134
on reversing heart disease M 134
on managed care issues M 134
on samples from finite M 132
on increasing high school M 132
on animals have clearly M 132
on receiving such excess M 131
on support from various M 130
on improving their existing M 130
on everything from travel M 130
on certain leading points M 130
on increasing their market M 129
on several other bodies M 128
on everything from global M 128
on average only twenty M 128
on towards great changes M 124
on research into various M 124
on private land belonging M 124
on occasion been guilty M 124
on everything else except M 124
on receiving their orders M 122
on disputing till brother M 122
on shorter time frames M 121
on support from public M 120
on providing safe escort M 120
on everything from energy M 120
on current flow through M 120
on surface wind stress M 118
on occasion been treated M 118
on decision making should M 118
on occasion been thought M 116
on objects seen through M 116
on increasing their output M 116
on everything from proper M 116
on certain core issues M 116
on several such issues M 114
on returning home before M 114
on achieving some degree M 112
on decision making through M 111
on poverty will depend M 110
on exploring those guards M 110
on exactly what causes M 110
on average were higher M 110
on returning from another M 108
on occasion have viewed M 108
on exactly those points M 108
on everything from planning M 107
on several other papers M 106
on factors like whether M 106
on receiving those orders M 104
on receiving such orders M 104
on returning from visiting M 102
on religion have always M 102
on occasion come across M 102
on several main issues M 100
on occasion have sought M 100
on embracing what chance M 100
on designs having special M 100
on certain other special M 100
on certain great issues M 100
on absence from school M 100
on support from higher M 98
on stories like clothes M 98
on objects from without M 98
on descent from common M 98
on certain other events M 98
on arrival were placed M 98
on several other public M 96
on matters well beyond M 96
on certain land belonging M 96
on results from various M 94
on everything else around M 94
on certain clear nights M 94
on average much greater M 94
on average have greater M 93
on occasion have become M 92
on occasion been abused M 90
on improving health through M 90
on certain other nights M 90
on outside your window M 89
on freedom from disease M 89
on several other visits M 88
on several other fields M 88
on religion were lifted M 88
on religion more essays M 88
on grounds having little M 88
on following their advice M 88
on current fair market M 88
on command from ground M 88
on average there should M 88
on private land through M 86
on average were larger M 86
on increasing their strength M 84
on against their better M 83
on returning home should M 82
on returning home became M 82
on retaining their rights M 82
on letters from readers M 82
on improving work methods M 82
on expanding their market M 82
on everything from managing M 82
on certain fine points M 82
on capital were higher M 82
on defending their rights M 80
on between these groups M 57
on average have better M 57
on outside their narrow M 55
on everything from training M 50
on exactly these issues M 48
on everything from animal M 46
on average some twenty M 46
on together much better M 43
on request from member M 42
on improving their methods M 41
on exactly these points M 41
on exactly what changes M 40
on exactly what caused M 40
on imports from abroad D 3456
on exchange rate policy D 2947
on shorter time scales D 2208
on vacation from school D 1558
on holiday from school D 1478
on student test scores D 1216
on chronic drug therapy D 1128
on minimum wage boards D 1100
on several other fronts D 950
on national health policy D 933
on printed wiring boards D 864
on several time scales D 667
on capitol hill before D 608
on geologic time scales D 603
on interior wiring design D 598
on national drug policy D 568
on national film policy D 491
on daytime soap operas D 484
on general health status D 469
on similar time scales D 462
on medical care prices D 456
on foreign soil without D 452
on improving their skills D 446
on windows media player D 440
on removal from office D 436
on national health planning D 429
on minimal agar plates D 416
on improving your skills D 410
on imports from member D 399
on exchange rate target D 396
on seasonal time scales D 395
on schooling from inside D 382
on national health reform D 378
on account from office D 366
on central bank policy D 362
on product life cycles D 360
on several other levels D 356
on national bank shares D 342
on vacation last summer D 340
on capital gain income D 330
on improving test scores D 326
on cabbage tree island D 320
on national park system D 318
on digital land mobile D 308
on overall health status D 292
on behavior rating scales D 287
on capitol hill seemed D 282
on imports were raised D 274
on national food policy D 270
on vacation from oxford D 264
on machine tool design D 264
on borough high street D 260
on receiving piano sounds D 254
on everything from fashion D 254
on reviewing those places D 244
on imports from another D 244
on resolving these issues D 240
on between those french D 238
on several other boards D 236
on achieving high levels D 234
on general bird trapping D 222
on steeply rising ground D 219
on current news events D 216
on damaged heart valves D 212
on skimmed milk powder D 210
on reports from various D 210
on current health status D 210
on imports from nations D 208
on everything from sports D 208
on capitol hill without D 208
on plasmid copy number D 202
on increasing crop yields D 202
on managed care panels D 200
on gastric acid output D 198
on capitol hill through D 198
on profits from export D 194
on patient health status D 194
on general land office D 194
on everything from sexual D 194
on exchange rate regime D 192
on providing safe drinking D 190
on medical cost offset D 190
on insulin pump therapy D 190
on imports from eastern D 188
on mustering their little D 186
on minimal agar medium D 186
on inquiring what belief D 186
on several length scales D 182
on certain moot points D 180
on average wage levels D 180
on equally firm ground D 178
on beginning reading skills D 177
on adverse drug reaction D 176
