who boasts boast about M 888
who needed looking after M 844
who worked longer hours M 778
who looked about thirty M 666
who writes books about M 630
who looked about forty M 600
who already knows about M 580
who seemed quite happy M 576
who looked about fifty M 536
why should white people M 506
who should first enter M 480
who seized power after M 478
who should first offer M 464
who always knows where M 448
who braved every danger M 442
who seemed quite willing M 416
why should anything change M 410
who spends eight hours M 400
who looked about eight M 397
who worked eight hours M 396
who should first seize M 386
who should worry about M 378
who played small parts M 364
who prayed every night M 362
who waited until after M 354
who travel first class M 348
who helped raise money M 338
why should anything exist M 334
who wished could enter M 322
who became blind after M 322
who became party leader M 318
who fought under cover M 310
who seemed every evening M 306
who played right field M 298
why should people bother M 294
who looked about seven M 280
who became known later M 278
who looked about sixty M 277
who needed money badly M 274
who deeply cared about M 270
who become blind after M 260
who should enter first M 256
who should write about M 246
who should wield power M 242
who writes about music M 232
who should begin every M 230
who deeply cares about M 230
who merely knows about M 228
who fought under grant M 228
who worked under cover M 226
who seemed taken aback M 224
who remain alive after M 224
who needed extra money M 217
who always found fault M 214
who spends every night M 204
who became blind later M 204
who through lower truths M 202
who always looks after M 198
who wished might enter M 196
who should serve under M 196
who should first touch M 194
who should serve until M 192
who almost every night M 192
who writes about women M 190
who sleeps every night M 190
who should stand still M 188
who should stand first M 188
who become blind later M 186
who should never marry M 184
who looked after every M 184
who denied knowing anything M 182
who sleeps whole weeks M 176
who writes about people M 172
who seldom judge right M 172
who walked seven miles M 168
who spends hours every M 168
who killed white people M 166
who should stand above M 165
who report child abuse M 165
who stated facts which M 164
who looked quite taken M 164
who enjoys helping others M 164
who seemed quite taken M 162
who rarely wrote anything M 162
who worked extra hours M 160
who worked forty hours M 158
who scarce seven hours M 158
who dreamed every night M 158
who walked every morning M 156
who stands still under M 156
who seldom could marry M 156
who seemed quite proud M 156
who before could never M 156
who already enjoy right M 154
who should stand where M 152
who needed money could M 152
who enjoys meeting people M 152
who allege facts showing M 152
who thought twice about M 148
who showed white under M 148
who should issue money M 148
who number about fifty M 148
who became quite wealthy M 148
who called every morning M 146
who always thinks about M 146
who writes about books M 144
who merely write about M 142
who stands quite still M 140
who served seven terms M 140
who number about thirty M 140
who writes poetry about M 138
who needed extra hands M 136
who became known after M 136
why should black people M 134
who enjoys helping people M 134
who always moved about M 134
who should marry after M 132
who stands quite alone M 130
who always finds fault M 130
who starts thinking about M 128
who should spread false M 128
who should cross first M 128
who already knows where M 128
who should first cross M 127
who should within sixty M 126
who merely judge books M 126
why should others enjoy M 124
why should older people M 124
who should appear under M 124
who became known under M 124
who writes badly thinks M 122
who worked below could M 122
who sleeps eight hours M 122
who gained power after M 122
who commit child abuse M 122
who should first engage M 120
who became white house M 120
who always lived under M 120
who worked sixty hours M 118
who seemed fully aware M 118
who should first scale M 116
who clearly cared about M 116
who always makes light M 116
who almost never cried M 114
who thought money could M 112
who should first carry M 112
who served under major M 112
who rarely found anything M 112
who seemed about thirty M 111
who wanted paper money M 110
who should stand quite M 110
who looked rather bored M 110
who enjoys learning about M 110
who dwells within every M 110
who looked taken aback M 109
why should people whose M 108
who wished could easily M 108
who walked eight miles M 108
who should never again M 108
who neither knows where M 108
who mortal beauty chase M 108
who became fully human M 108
who worked after hours M 106
who wander about begging M 106
who should first store M 106
who number about forty M 106
who indeed often awoke M 106
who always slept under M 106
who walked fifty miles M 104
who served under grant M 104
who joined labor unions M 104
who already stood alone M 104
who already owned large M 104
who should never touch M 102
who changed sides after M 102
who always lived within M 102
who always knows which M 102
who should fight under M 98
who served short terms M 98
who remain alive until M 98
who formed ideals never M 98
who writes about writing M 97
who should first plant M 97
who valued honor above M 96
who should sleep where M 96
who decide which cases M 96
who almost never wrote M 96
who writes anything about M 94
who number about eight M 94
who allows every slave M 94
who writes often about M 92
who walked forty miles M 92
who stands still while M 92
who issued paper money M 92
who always asked about M 92
why should people adore M 90
who spends every spare M 90
who seemed quite upset M 90
who killed seven people M 90
who killed eight people M 90
who filled every place M 90
who became fully aware M 90
who allows plain words M 90
who thought every woman M 88
who prefer working alone M 88
who looked after people M 88
