hierarchy were filled with M 124
historians have argued that D 26436
historians have agreed that D 1867
historians have stated that D 1741
historians have thought that D 1435
historians have called this D 1428
historians have agreed with D 1074
historians have argued for D 1032
hillsides were dotted with D 712
historians have called him D 710
highlight your choice and D 610
historians have looked for D 494
historians will record that D 481
historians have denied that D 380
highlight your skills and D 378
historians have called them D 368
historians have always had D 330
historians have proved that D 310
highlight some issues that D 264
historians have treated this D 262
historians have learned that D 255
historians have called for D 250
historians have viewed this D 236
historians seem agreed that D 225
highlight these issues and D 225
historians will recall that D 201
historians have called his D 190
historians have treated them D 182
historians have hinted that D 178
historians have judged that D 173
historians were struck with D 172
hibernate over winter and D 170
historians have traced this D 164
historians have worked out D 150
hillsides were strewn with D 150
historians once thought that D 149
historians have judged him D 148
historians have tended not D 142
highlight those issues that D 140
historians like gibbon and D 138
historians have treated him D 126
historians have sought for D 126
historians have argued was D 126
historians have viewed him D 122
historians have blamed him D 120
historians have argued with D 120
hibernate during winter and D 120
historians have worked with D 114
historians have traced its D 114
historians have termed this D 114
histories were filled with D 112
historians were agreed that D 112
historians will record with D 110
historians have spoken with D 110
hillsides were ablaze with D 110
hijackers were killed and D 108
historians have proven that D 106
historians have shared this D 104
histamine from exerting its D 104
highlight some issues and D 104
historians give credit for D 102
hillsides were clothed with D 102
historians have placed too D 98
historians have engaged with D 94
highlight some points that D 94
historians will record this D 92
historians have opined that D 91
historians have thought they D 90
historians have copied him D 90
historians have called her D 90
historians have linked this D 88
historians have quoted this D 86
historians have placed them D 86
historians have looked with D 86
historians have viewed them D 82
highlight these changes and D 82
historians will regard this D 80
historians will insist that D 45
historians must realize that D 44
histories show clearly that D 43
historians take notice that D 42
