hypothetical positive and negative M 166
hyperactive children who received D 254
hydrostatic pressure and increased D 238
hypertension detection and treatment D 192
hyperactive children and families D 184
hydrostatic pressure and therefore D 180
hydrophobic proteins and peptides D 168
hydrostatic pressure and decreased D 142
hyperactive children and controls D 128
hyperactive children and children D 122
hydrostatic pressure was increased D 120
hydrophobic peptides and proteins D 103
hydrostatic pressure that develops D 96
hypothalamus produces two hormones D 88
