ninth century before our M 766
nine hundred fighting men M 384
nine thousand fighting men M 382
nine hundred killed and M 338
nine hundred ninety and M 322
nine members chosen for M 264
nine southern states and M 258
nine percent chance that M 209
nine percent agreed that M 202
nine western states and M 198
nine hundred picked men M 198
nine southern states had M 186
nine percent higher than M 184
nice question whether this M 174
nine percent stated that M 169
nine percent thought that M 148
nine hundred ladies and M 142
nine thousand killed and M 136
nice question whether they M 132
nine degrees higher than M 126
nine hundred twenty and M 118
nine persons inside and M 114
nine minutes before they M 106
nine hundred copies had M 92
nine persons killed and M 86
ninth circuit stated that D 1718
ninth circuit agreed with D 1390
nine hundred pounds for D 836
ninth circuit agreed that D 603
nine thousand pounds for D 602
nine hundred camels with D 576
nine hundred pounds per D 534
nine thousand pounds and D 494
nine hundred french and D 484
ninth circuit gender bias D 457
nine hundred pounds and D 356
nine thousand pounds per D 344
nice offense should bear D 270
nine shillings sterling per D 226
nine thousand pounds real D 204
nine hundred horses and D 196
nine hundred pounds was D 192
ninth circuit issued its D 178
nine thousand pounds was D 170
nine degrees farther than D 164
nine hundred pounds each D 152
nine hundred crowns and D 130
nine hundred pounds out D 124
nine thousand francs per D 120
ninth circuit agreed and D 117
nine thousand troops and D 116
nine hundred francs and D 116
nine hundred million and D 108
nine hundred francs for D 108
nine hundred troops and D 96
nine hundred rounds per D 94
nine hundred francs per D 86
nine thousand francs for D 84
nine thousand slaves and D 82
nine hundred guineas for D 80
