universal among human beings M 1436
uniformly over large areas M 528
uncertain what might have M 518
undergone some change during M 385
unusually high growth rate M 378
undergone some change from M 293
underwent some change during M 247
universal game known among M 244
unfamiliar male voice said M 238
undergone much change during M 236
unusually high crime rate M 230
undergone some change over M 210
unwittingly been drawn into M 178
undergone much change over M 162
unrelenting fate working from M 160
uncertain also about your M 152
unrelated third party such M 148
undermine their power base M 146
undergone great change during M 142
unusually cold weather during M 138
uniformly over every part M 136
uniformly been given only M 134
universal truth which will M 124
unwittingly gets drawn into M 122
uniformly been acted upon M 122
underwent some change when M 122
uniformly from every part M 120
unfamiliar word while reading M 114
underwent great change during M 109
universal peace based upon M 108
universal truth which lies M 106
undertake some teaching work M 94
undermine their power over M 94
undergone some change even M 94
universal love which leads M 92
unusually loud sound from M 90
universal ideas which have M 90
undergone great change over M 90
underwent much change during M 88
universal peace which will M 86
universal ideas which were M 86
undertaking will appear less M 82
underwent some change from M 80
unleavened bread seven days D 1195
uncertain what would have D 292
universal laws which make D 284
undefined longing crept upon D 262
uninjured hand saved from D 214
unwritten laws which have D 208
universal laws which were D 202
ungoverned ocean which when D 200
unmarried young women were D 192
unstained from thence down D 180
universal laws which rule D 154
unmarried young women from D 142
unanimous jury would have D 136
unpleasant ideas arising from D 134
unusually heavy rains during D 124
unpleasant odor arising from D 122
unchecked tears running down D 121
unhappily were split into D 118
universal wail burst from D 116
universal laws which hold D 110
unwritten laws which were D 108
unusually heavy rains fell D 106
unruffled tide seems like D 104
unnatural ones would make D 104
unusually deep flush over D 102
universal laws which know D 102
unmarried young people were D 100
unmarried young people from D 100
unluckily having never seen D 100
uncertain what would come D 100
universal love which bears D 98
undertake what would have D 96
unskilled jobs which were D 94
unpleasant ideas which only D 90
unmarried girl gives birth D 90
unwelcome babe might wail D 88
universal laws which have D 86
universal laws while also D 84
uninjured nothing could kill D 82
