yearning regret that lay M 138
yearly totals for each M 134
yearly before they are M 125
yearly output does not M 88
yearly income does not D 400
yearly income did not D 370
yeoman farmer and his D 304
yeoman farmer who had D 199
yearly income for all D 176
yearly income for each D 168
yearly income per head D 166
yearly pension for his D 132
yearly salary for each D 126
yeoman pulled him out D 120
yeoman farmer who was D 119
yeomen caught her arm D 104
yearly capons and his D 102
yearly budget for all D 102
yelling louder than all D 100
yearly income was not D 100
yearly income for two D 100
yelling before they are D 92
yelps passed with his D 88
