urban native slum yard D 450
urban planning have been D 352
urban design have been D 272
urban spaces have been D 260
urban places have been D 240
urine became free from D 233
urban regions have been D 232
urban policy have been D 218
urban settings have been D 184
urban blacks have been D 152
urban models have been D 150
urine should have been D 149
urban system have been D 148
urban sprawl have been D 138
urban groups have been D 134
urban sector have been D 110
urges another suit upon D 98
urban issues have been D 98
urine varies from pale D 92
urine output have been D 89
urine changes from acid D 84
urban settings were more D 84
urine varies very much D 44
