worsening heart failure . M 1196
workers were covered . M 890
workers from outside . M 832
workers will increase . M 818
workers were present . M 744
workers were married . M 600
workers were injured . M 528
workers were trained . M 526
wounded were removed . M 516
workers were exposed . M 474
workers were members . M 366
workers like himself . M 332
workers were wounded . M 322
workers were defeated . M 312
workers were released . M 278
workers into account . M 270
workers will decline . M 244
workers were located . M 194
workers will decrease . M 184
worship other deities . M 168
worship were erected . M 166
workers were invited . M 164
workers were studied . M 162
wounded were carried . M 158
workers will benefit . M 158
workers were removed . M 158
worship their deities . M 148
workers were females . M 148
workers were ignored . M 144
workers into poverty . M 144
wounded union soldier . M 142
workers were suffering . M 142
wounded were brought . M 140
workers were reduced . M 140
worship more meaningful . M 136
wounded were drowned . M 124
workers were receiving . M 120
workers like herself . M 120
workers were unhappy . M 114
workers were subject . M 112
wounded were gathered . M 110
wounded great numbers . M 108
workers will receive . M 106
workers have appeared . M 102
worship these deities . M 101
workers were trapped . M 100
workers were limited . M 100
workers came forward . M 100
wounded many persons . M 98
worldly good fortune . M 98
wonders upon wonders . M 95
workers from violence . M 94
worthily made welcome . M 92
workers were similar . M 90
workers were counted . M 90
workers meet together . M 88
worried over everything . M 86
workers were adopted . M 86
wonders were revealed . M 86
workers were gathered . M 84
workers were divided . M 84
workers more closely . M 84
workers have emerged . M 84
workers grew steadily . M 84
workers were enacted . M 82
workers were demanding . M 82
worship evil spirits . M 49
worries many parents . M 46
