firmament answers in his M 126
fictitious account of his D 812
firstborn according to his D 486
fireplace flanked by two D 324
fishermen because of its D 304
filaments consist of two D 276
fictitious account of her D 240
firepower brought to bear D 229
fictitious account of how D 224
fistfight between the two D 190
filaments similar to that D 178
fireplace between the two D 170
fireplace against the far D 166
filaments capable of being D 160
fishermen assured me that D 150
fireworks between the two D 136
fictitious process of law D 135
filtration because of its D 134
fictitious account of this D 134
fireplace because it was D 116
filaments extending as low D 110
filtration process is not D 106
filaments between the two D 106
fictitious history of this D 104
fishermen assured us that D 102
fictitious history we may D 102
fictitious promise to pay D 98
fictitious according to our D 98
fireworks display in new D 90
fictitious stories of his D 90
fireworks exploding in his D 82
fictitious example of how D 80
