filter transfer functions are M 170
fission neutrons produced per D 398
figure hideously deformed and D 384
findings provided evidence that D 330
fierce antipathy concerning things D 308
findings therefore indicate that D 268
findings provided evidence for D 246
finely powdered charcoal and D 214
findings contrast markedly with D 168
fierce religious struggle was D 156
fiscal policies combined with D 142
fields formerly reserved for D 122
finely granular contents and D 110
finest possible condition for D 104
finest mannered literary men D 104
findings probably indicate that D 91
findings reported indicate that D 90
findings contrast somewhat with D 88
finely powdered condition and D 82
filled ionization chambers are D 53
