finish their university studies M 103
fiscal years immediately preceding D 1024
findings from laboratory studies D 612
findings from individual studies D 446
findings were remarkably similar D 354
findings from educational research D 270
findings from controlled studies D 256
findings from scientific research D 220
findings from laboratory research D 204
findings were essentially similar D 178
fitted into pasteboard sockets D 132
findings from scientific studies D 116
findings from attachment research D 110
fiscal years immediately following D 106
findings were classified according D 106
figure bent gracefully towards D 86
