pet because they are M 122
per hectare per year D 28075
per student per year D 10368
per patient per year D 8421
per patient per day D 7314
per thousand per year D 7166
per hectare and per D 3781
per quarter for each D 1836
per hectare per day D 1798
per hectare for each D 1424
per hectare and year D 1250
per vehicle per day D 1209
per patient day for D 1176
per vehicle per year D 1146
per patient day and D 1125
per student for each D 914
per student per day D 862
per hectare each year D 847
per thousand for each D 832
per thousand for all D 828
per machine per day D 805
per hectare for all D 788
per machine per year D 698
per violation per day D 649
per student and per D 626
per subject per day D 622
per country per year D 610
per hectare and that D 554
per hundred per year D 540
per hectare than any D 537
per patient day was D 517
per citizen per year D 487
per country and per D 480
per patient day are D 428
per student each year D 413
per tourist per day D 396
peak current and peak D 392
per hectare are not D 386
per soldier per day D 372
per thousand and for D 368
per student than any D 367
per account per year D 364
per student and how D 362
per thousand and that D 358
per spindle per day D 358
per patient for each D 346
per company per year D 345
per hectare did not D 342
per patient and per D 337
peak heights and peak D 332
per hectare does not D 326
per student for all D 324
per thousand and death D 312
per hectare and for D 308
per visitor per day D 307
per society and per D 302
per subject for each D 299
per surface area and D 296
per spindle per year D 296
per thousand each year D 294
peak position and peak D 272
per subject per year D 266
peak position does not D 264
per patient day than D 262
per thousand per day D 258
per division per day D 251
per furnace per day D 250
per quarter for his D 249
per thousand men per D 242
per soldier per year D 241
per machine and per D 240
peak voltage and peak D 240
per hectare was not D 236
per hectare are low D 236
per spindle and per D 230
per laborer per day D 225
per student does not D 224
per project per year D 224
peak voltage that can D 223
per vehicle for each D 222
per product and per D 218
per hectare than did D 216
per trainee per year D 209
per surface area than D 208
per patient day has D 202
per species and per D 201
per officer per year D 201
per hectare and are D 200
per hectare for this D 198
peak between two and D 198
per factory and per D 196
per vehicle and per D 194
per thousand ems for D 192
per patient for all D 192
per hectare and with D 180
peak between may and D 179
per thousand for men D 174
per hectare has not D 174
per hundred for all D 172
per village per year D 170
per patient each year D 167
per violation for each D 166
per quarter for all D 166
per hectare and was D 166
per patient year for D 164
per surface area per D 163
per hundred for each D 162
per hectare for both D 162
per hydrant per year D 158
per hectare than that D 158
per subject and per D 157
peak heights for each D 157
per circuit per year D 156
peak current does not D 156
per tractor per year D 153
per hectare was low D 148
per student than did D 146
per citizen than any D 144
per machine for each D 142
per hectare can not D 142
per journal per year D 141
per program and per D 136
pen between his toes D 136
peak heights are not D 136
per hectare for one D 135
per refugee per day D 134
per hectare that are D 134
per hectare and then D 134
per hectare and its D 134
per quarter for two D 133
per hectare than does D 132
per hectare and this D 132
per freight car per D 132
per thousand and was D 131
per thousand men and D 130
per thousand for this D 130
per patient day may D 128
per citizen per day D 128
per student and one D 126
per student for one D 125
per quarter for one D 122
peak latency and peak D 122
per student for this D 119
per channel and per D 119
per thousand for gas D 118
per student did not D 118
per hectare and not D 116
per hectare for two D 114
per student are not D 112
pen hardier than any D 110
per company and one D 109
per thousand who are D 108
per quarter and for D 108
per patient than any D 108
per package per day D 108
per furnace per year D 107
per channel per year D 107
per surface area was D 106
per patient day can D 106
peas because they are D 106
per patient year and D 104
per patient day with D 104
per capital per day D 104
per student can not D 102
per thousand who die D 100
per program per year D 99
per product for each D 98
per married man and D 98
per hectare and low D 98
per channel for each D 96
per account per day D 96
per quarter for six D 94
per hectare for new D 92
per hectare for dry D 92
per vehicle for all D 91
per patient each day D 90
per hectare and can D 90
pen scraped its way D 88
per thousand for that D 86
per quarter for this D 86
per occasion for men D 84
per thousand and then D 82
per hundred for them D 82
per battery per day D 82
peak current that can D 69
per vehicle for day D 57
per village and per D 56
per quarter and that D 51
per hectare and one D 48
per patient day that D 47
per student and that D 45
peak position and its D 42
pen crammed with men D 41
peak between six and D 41
