pet stores or through M 116
per million by volume D 11244
per second is called D 5964
per dollar of output D 5219
per million by weight D 5146
pew center on global D 5056
per dollar of assets D 2982
per barrel of cement D 2548
per billion by volume D 2414
per gallon of sewage D 2068
per dollar of income D 1964
per degree of visual D 1769
per person in double D 1702
per million of sodium D 1665
per million of carbon D 1520
peak periods of demand D 1324
per minute is called D 1277
per second or higher D 1251
peak shifts to higher D 1220
per dollar of equity D 1206
per person or couple D 1165
per minute in adults D 1148
per minute or greater D 1129
per million of copper D 1106
per worker is higher D 992
per minute of oxygen D 945
per million of oxygen D 928
per gallon of ethanol D 926
per second or faster D 919
per dollar of direct D 886
per gallon of liquid D 818
per gallon of petrol D 803
per second or greater D 798
per million of sulfur D 756
per volume of liquid D 754
per minute or higher D 741
per dollar of outlay D 714
per second or minute D 666
per dollar of initial D 634
per volume of tissue D 593
per volume of medium D 568
per person is higher D 560
per minute is normal D 528
peak around the middle D 524
per million of silica D 508
per dollar of annual D 500
per gallon of diesel D 492
per second the number D 488
per minute or faster D 488
per second of speech D 484
per minute or second D 483
per dollar of common D 482
per person or family D 474
per second is greater D 468
per second is termed D 455
per second by dividing D 454
per dollar of market D 454
per worker is greater D 449
per million or billion D 448
per minute is reached D 438
per second is reached D 430
peak across the valley D 415
per minute in normal D 414
per person in summer D 408
peak effect is reached D 398
pen dipped in vitriol D 382
per gramme of tissue D 376
per second is needed D 368
per gallon of sodium D 365
per dollar of export D 361
per second is always D 360
per kelvin or joules D 360
per second as before D 356
per second or slower D 344
per second or meters D 344
per bushel of apples D 342
per gallon of drinking D 338
per minute by dividing D 330
per minute is common D 328
per minute is termed D 324
per person in winter D 320
per minute at various D 320
peak stress is reached D 320
per gallon on petrol D 318
pen should be cleaned D 318
pen across my record D 318
per minute or liters D 316
per million in drinking D 316
per dollar of public D 314
per barrel of liquid D 314
per teacher in public D 306
peak strength is reached D 306
per million or greater D 305
per dollar of credit D 302
per minute is needed D 300
per minute or slower D 299
per second in normal D 296
per million of solids D 296
per course of therapy D 296
peak powers in excess D 291
per member of family D 288
per minute or better D 287
per minute to obtain D 286
per second is common D 284
per second to obtain D 282
per second in summer D 282
per decade of energy D 282
per minute in pounds D 278
per person is needed D 276
per nucleon is greater D 276
per billion by weight D 276
per worker by sector D 275
per volume of reactor D 275
per second to escape D 274
per weight or volume D 272
per dollar of salary D 268
per second or cycles D 264
per barrel in august D 264
per second or better D 260
per million of active D 260
per volume of sample D 258
per bushel of barley D 258
peg should be driven D 258
per million of nitric D 254
per person in groups D 246
per dollar of spending D 244
per barrel of output D 244
per barrel of charge D 244
per weight of tissue D 242
per second is enough D 242
per person is greater D 242
peak periods of labour D 237
per million of nickel D 234
per worker or output D 228
per gallon of liquor D 228
per person in shared D 225
per million of ammonia D 225
per second is simply D 220
per worker in various D 218
per person of school D 214
per person in various D 214
per second in vacuum D 212
per minute at normal D 212
peg beside the window D 210
per person in family D 208
peas should be soaked D 204
per number of number D 200
per minute is greater D 200
pen drawings to secure D 198
