persistently made default in M 392
perpetrators were brought to D 504
performances were limited to D 470
perpetrators were members of D 436
perspectives have emerged in D 388
perspectives from outside the D 354
perspectives have focused on D 302
perspectives from research on D 298
performances were similar to D 248
perspectives were brought to D 246
performances were superior to D 238
performances were brought to D 210
perspectives come together in D 204
perceptually more similar to D 194
personalized form letters to D 182
performances were allowed to D 180
perspectives into account in D 168
perturbations were applied to D 162
performances were related to D 162
performances were devoted to D 158
performances were arranged by D 150
perturbations come between us D 140
performances were carried on D 140
performances were subject to D 134
performances were beginning to D 134
performances were arranged in D 130
performances were offered in D 120
perpetrators were beheaded at D 116
performances were enacted in D 116
perspectives have emerged to D 110
perspectives among members of D 110
performances very similar to D 110
perspectives come together to D 106
perspectives were beginning to D 98
performances vary according to D 98
perspectives were applied to D 94
performances were admired by D 94
perpetrators were allowed to D 92
performances were inferior to D 92
perspectives were evident in D 90
performances were offered to D 90
performances were arranged at D 90
perspectives have emerged as D 85
performances were repeated in D 84
perturbations from outside the D 80
perspectives have pointed to D 80
