authors publish new books M 522
authors suggest that women M 478
authors suggest that while M 431
authors suggest that since M 372
authors suggest that people M 224
authors believe that every M 224
authors explain this finding M 216
authors suggest that under M 175
authors address this issue M 174
authors suggest that local M 160
authors believe that women M 140
authors believe that while M 138
authors suggest that either M 132
authors suggest that after M 131
authors believe that people M 126
authors reasoned that since M 124
authors suggest that rather M 118
authors believe that either M 106
authors observe that while M 105
authors applied this method M 104
authors believe that since M 98
authors suggest that older M 96
authors believe that under M 96
authors suggest that human M 93
authors suggest that where M 92
authors believe that human M 91
authors suggest that small M 90
authors deserve our thanks M 90
authors because they wrote M 90
authors suggest that group M 89
authors believe that where M 88
authors printed and bound D 426
authors suggest that social D 244
authors contend that while D 152
autumn flowers and leaves D 145
authors believe that social D 124
autumn holiday was spent D 96
august majesty and power D 96
authors contend that since D 88
august consort and mother D 84
aurora clasped her hands D 82
