authorization from his own M 94
authoritarian rule did not D 224
authoritarian rule and its D 202
automobiles when they are D 200
authoritarian rule does not D 148
authoritarian rule and his D 140
authoritarian rule was not D 134
authorization card does not D 130
automobiles were not yet D 128
authoritarian rule that was D 126
automobiles were few and D 124
authoritarian rule can not D 124
authoritarian rule that had D 118
automobiles coming and going D 100
authoritarian rule and that D 98
authoritarian rule that has D 94
authoritarian rule and was D 88
authoritarian rule are not D 82
