richest truth obtained for M 94
rightly been observed that D 1000
rightly been compared with D 636
ripened into intimacy and D 518
rightly been remarked that D 370
rightly been stressed that D 220
rightly been credited with D 148
rigidly into practice than D 138
rituals were observed and D 108
rightly have inferred that D 108
ripened into affection and D 106
rigidly into practice all D 98
rightly been asserted that D 97
riveted their attention and D 90
ripples more numerous and D 90
rituals were reserved for D 88
richest gold deposits are D 84
