vows should have been M 120
voting rights have been D 1218
vote should have been D 1099
voting papers have been D 562
vote except when there D 323
voting rights were held D 197
voting trusts have been D 196
voting should have been D 173
voting rights away from D 149
voting rights bill will D 140
voting rights acts were D 140
vote without having paid D 118
vote without having heard D 117
voting rights held only D 114
voting shares were held D 110
voting strength away from D 108
voting strength came from D 100
vote totals have been D 83
voting shares have been D 59
voting rights were also D 51
voting papers were sent D 48
vote without having been D 45
voting rights among those D 44
