void otherwise to remain M 557
vote directly on issues D 392
vote directly on policy D 299
vote required to become D 273
void pursuant to section D 128
voting patterns of various D 124
vote provided the margin D 116
voting patterns in recent D 110
vote directly on public D 107
vote directly on whether D 96
vote required to remove D 92
voting directly on issues D 84
vote pursuant to section D 66
vote condemning the soviet D 57
voting pursuant to section D 55
vote required to ratify D 50
vote increased by almost D 48
vote expressing the opinion D 47
voting patterns on issues D 46
voting patterns in various D 45
vote exceeded the number D 45
