building theories from case M 3220
building should have been M 2442
building blocks have been M 1531
building should look like M 891
burned before their eyes M 850
burden should have been M 768
building looked more like M 674
burden should fall upon M 628
buried itself deep into M 466
button should have been M 364
burned pretty much into M 362
button appears only when M 316
building standing back from M 310
building something from nothing M 301
burned before your eyes M 300
buffer layers have been M 284
buried twenty feet deep M 282
bursting through these dark M 276
building phases have been M 260
burden lifted from their M 246
burned itself into clear M 238
building itself must have M 201
building blocks were used M 200
burned itself deep into M 198
burned before your face M 196
button should look like M 191
building methods have been M 189
building across from city M 187
building design have been M 182
burned itself into their M 178
building standing very bare M 176
building caught fire from M 172
building blocks made from M 161
building should have some M 156
burden seemed very heavy M 142
building looked just like M 126
building should take into M 124
building blocks must have M 121
burden should rest upon M 120
building blocks your body M 118
building permit when such M 116
building periods have been M 114
building blocks will have M 112
burden placed upon their M 110
burden lifted from your M 110
building should look what M 110
bursting afresh into tears M 108
building public good will M 108
builds slowly over time M 106
building owners have been M 104
building looked like some M 102
building itself there were M 99
building something like those M 98
building methods were used M 97
building itself having been M 97
building should take fire M 96
buried without having been M 90
buried twenty feet from M 90
building seemed even more M 90
burned candle into four M 88
building toward some kind M 88
building without ever having M 87
building looked even more M 87
building blocks will help M 87
building itself will have M 86
building blocks were made M 86
building blocks come from M 85
burned before their very M 82
buried without ever having M 82
buried before their time M 82
building should face south M 82
buried twelve feet deep M 81
building blocks were laid M 80
building across from ours M 57
building before their eyes M 53
building grants were made M 50
building without taking into M 45
building blocks from other M 43
building plants have been M 42
building should have more M 41
building should burn down M 41
building blocks were also M 40
budget should have been D 874
busily intent upon their D 846
building trades have been D 590
bullet through your heart D 564
bullet through their heads D 555
building stones have been D 440
buzzed around their heads D 390
butler should have been D 252
buffer stocks have been D 229
bullet should have been D 228
budget should take into D 192
bullet should come from D 185
busily engaged upon some D 184
busied myself among thread D 170
busily engaged upon their D 166
building trades were also D 161
budget broken down into D 158
bullet through their heart D 148
buyers should have been D 140
bullet through your body D 132
building levels have been D 125
burden bumped from side D 124
bundle reached only half D 123
bullion turned into coin D 118
budget should come from D 116
busied myself making some D 108
building corals grow only D 100
bucket upside down over D 98
building trades rose from D 92
budget without firing upon D 92
building trades were well D 91
buyers should make sure D 90
building corals grow best D 89
budget should have some D 84
bullet should have come D 82
building corals have been D 81
building trades there were D 80
burned reapers wiping their D 59
budget should look like D 52
building farther away from D 40
