resulted from recommendations made M 178
received some correspondence from M 148
received high recommendations from M 86
received some reinforcements from D 1112
redeemed from insignificance only D 320
resemble their contemporaries even D 216
received some representations from D 170
received many embellishments from D 144
received many representations from D 128
received heavy reinforcements from D 128
received more reinforcements from D 118
received many advertisements from D 112
received great reinforcements from D 100
rebounding from disappointment like D 94
