victorious army advanced that M 202
victories have rendered them M 158
victories were achieved with M 146
victories were received with M 92
virtually nothing compared with M 84
victories were followed with M 80
villagers were arrested and D 264
villagers were provided with D 192
viscosity also increases with D 158
villagers were informed that D 153
villagers were friendly and D 132
victories more splendid than D 132
visitation were impeached for D 131
viscosity when compared with D 124
villagers were threatened with D 104
victories more renowned than D 102
videotapes were analyzed for D 86
vineyards were uprooted and D 82
