strenuously have opposed it M 342
statistical data regarding the D 2439
statistical data related to D 1600
statistical link between the D 592
statistical data gathered by D 508
statistical data referring to D 390
statistical term referring to D 368
statistical test depends on D 366
statistical laws governing the D 358
statistical test applied to D 342
storefronts were boarded up D 276
statistical data gathered in D 268
statistical data according to D 252
statistical data released by D 204
statistical test comparing the D 198
strategists were beginning to D 194
straightest line between the D 182
statistical data support the D 174
standardize some aspects of D 164
stockholder will receive the D 150
stipulations made between the D 148
statistical test results in D 148
statistical test rejects the D 120
statistical theory applied to D 116
statistical test because the D 114
standardize many aspects of D 112
statistical data because of D 104
statistical data comparing the D 100
stateliness were objects of D 98
statistical data include the D 92
statistical data confirm the D 80
