student affairs preparation programs M 330
studies provide consistent evidence M 220
studies provide overwhelming evidence M 198
studies provide sufficient evidence M 192
studies provide information concerning M 154
stepped outside traditional morality M 112
studies provide impressive evidence M 110
studies provide persuasive evidence M 96
stronger outside influences deterred M 82
studies provide substantial evidence D 386
statute because feasibility analysis D 300
studies provide suggestive evidence D 284
studies provide conclusive evidence D 220
studies provide supportive evidence D 124
stimuli eliciting conditioned reflexes D 96
studies provide convergent evidence D 94
