do correct ideas come M 2050
do exactly what their M 1722
do depends upon what M 795
do exactly what your M 750
do because there were M 749
do everything just like M 729
do himself some good M 642
do himself some harm M 508
do anybody much good M 506
do against such odds M 504
do equally good work M 490
do believe your fair M 476
do believe there were M 438
do believe there will M 401
do himself more harm M 386
do equally well when M 350
do depends very much M 350
do thoughts come from M 345
do everything from making M 340
do certain other acts M 312
do proceed upon more M 296
do exactly what other M 288
do herself some harm M 268
do animals feel pain M 268
do everything very well M 261
do require some form M 256
do benefit from their M 252
do parents want from M 248
do friends make such M 248
do against their will M 245
do provide some sort M 232
do himself much good M 229
do require more time M 215
do parents send their M 214
do receive help from M 211
do parents want their M 208
do believe there must M 208
do provide some form M 204
do surface from time M 197
do require some sort M 196
do depends upon their M 187
do profits come from M 186
do justice upon those M 184
do everything your back M 182
do reflect upon some M 180
do differs from what M 180
do provide some help M 176
do exactly what those M 176
do develop over time M 174
do require some kind M 171
do passions find room M 170
do descend very much M 170
do stories come from M 168
do depends upon your M 168
do contain some truth M 166
do thoughts grow like M 164
do regular duty there M 164
do involve some risk M 164
do wonders these days M 162
do deadlier work next M 162
do benefit from such M 161
do benefit from some M 159
do possess what none M 152
do exactly what these M 152
do everything else well M 152
do equally well what M 152
do matters very much M 151
do himself much harm M 150
do certain work upon M 150
do besides taking care M 150
do provide some kind M 148
do provide some data M 148
do benefit from these M 148
do provide some means M 142
do follows from what M 142
do recover from their M 141
do everything from love M 140
do require some care M 138
do himself more good M 138
do against your will M 138
do improve over time M 137
do increase over time M 136
do survive will have M 134
do provide some very M 134
do together what none M 132
do persist over time M 132
do require more care M 131
do parents teach their M 130
do require some time M 129
do viruses come from M 128
do question make what M 128
do certain other work M 126
do present their most M 124
do emotions come from M 124
do members feel free M 120
do contain some very M 120
do benefit from having M 117
do parents know what M 113
do similar work among M 112
do require some type M 112
do receive some form M 112
do beliefs come from M 112
do perform their work M 110
do himself very well M 110
do everything from taking M 110
do everything from here M 110
do everything else just M 110
do suggest some kind M 109
do possess some sort M 108
do penance there till M 108
do involve some form M 108
do certain acts upon M 108
do parents know when M 105
do usually have some M 102
do survive have been M 102
do several other jobs M 102
do priests among some M 102
do justice even when M 102
do everything from adding M 102
do possess free will M 100
do everything from your M 100
do believe very much M 100
do teachers know when M 98
do research into what M 98
do prayers like these M 96
do parents feel when M 96
do outside your home M 96
do involve some sort M 96
do herself much harm M 96
do everything these days M 96
do because there will M 95
do believe have been M 94
do perform less well M 93
do teachers know what M 92
do prosper best when M 92
do justice upon such M 92
do believe will soon M 92
do animals also have M 92
do penance three days M 90
do involve some kind M 90
do himself well from M 90
do confess some such M 90
do parents give their M 89
do everything from reading M 89
do suggest some sort M 88
do profess their faith M 88
do extreme harm just M 88
do anybody much harm M 88
do possess some kind M 86
do animals find their M 86
do respond very well M 85
do usually come from M 84
do everything else from M 84
do equally well here M 84
do classes have over M 84
do against great odds M 84
do achieve their goal M 84
do himself some hurt M 82
do confirm what poets M 82
do receive from their M 81
do require much more M 62
do provide much more M 56
do exactly what most M 45
do service once more M 40
do markets come from D 1146
do however have some D 298
do general farm work D 268
do athletes need more D 253
do spiders spin webs D 186
do blondes have more D 170
do seasonal farm work D 168
do speakers take into D 164
do welfare work among D 140
do forthwith take such D 114
do everything your aunt D 114
do abstain from other D 114
do forthwith pass what D 112
do diagrams make good D 112
do beseech your most D 97
do penance upon bread D 96
do everything from curing D 94
do however have their D 92
do minimum wage laws D 86
do signify nothing more D 82
do lawyers make your D 82
do however give some D 80
do penance during lent D 41
do doctors know what D 41
