dormant period during which M 238
doubted about your essay M 140
dormant state from which M 130
dormant state into which M 118
doubled within three months M 94
doubled round many times M 94
dollars every three months D 508
doctors still made house D 376
dollars within three months D 288
doctors would have liked D 198
doctors would have given D 194
doctors would have saved D 146
doctors could have saved D 142
dollars which were spent D 138
dollars would have saved D 136
dollars would have given D 128
doctors would have found D 104
doctors would have known D 98
doctors often will begin D 98
doctors still make house D 92
dollars would have taken D 88
doctors would have taken D 86
doctors could find anything D 86
dollars every month until D 82
dollars every month since D 80
