documentation required under this M 116
documentation evidence showing why M 88
domestically produced goods and D 8344
domestically produced crude oil D 1063
domestically produced goods are D 977
domestically produced goods for D 717
domestically produced goods that D 384
domestically produced parts and D 166
domestically produced goods with D 163
domestically produced goods can D 159
domestically produced rather than D 153
domestically produced goods was D 149
domestically produced goods than D 121
domestically consumed goods and D 97
domestically produced goods may D 93
domestically produced goods but D 80
