doubt accountable for having M 106
doubt responsible for much D 517
doubt responsible for many D 470
doubt responsible for some D 424
doubt recollected his having D 306
doubt responsible for their D 168
dozen individuals who were D 156
donor governments and their D 142
dozen restaurants and bars D 133
dozen individuals who have D 127
doubt responsible for these D 120
donor insemination has been D 119
dozen blindfolded men have D 102
dozen individuals who once D 90
doubt responsible for more D 45
