domains of experience belonging M 140
dollars of disposable income D 310
donated to charitable causes D 294
doubles the chromosome number D 178
dollars in government grants D 174
dollars to charitable causes D 160
dollars of government spending D 153
dollars the government spends D 128
dollars in disposable income D 118
doubled the chromosome number D 114
dollars in government spending D 104
dollars in unreported income D 102
dollars in fraudulent claims D 100
dominion by multitudes better D 97
