doubt become simpler when M 404
doubt further research will M 289
doubt whether anybody else M 239
doubt whether anybody ever M 225
doubt future research will M 218
doubt whether liberty were M 184
doubt whether anybody will M 167
dogma fitted exactly into M 136
doubt enters largely into M 128
doubt whether females were M 110
doubt future studies will M 82
doubt whether history will M 43
doubt whether congress will M 41
doubt partly because their D 136
doubt partly because there D 104
doubt partly derived from D 102
dozen narrow escapes from D 86
