dormant for many generations M 416
doubted that such concessions M 188
domains and their boundaries M 152
doubles all their efficiency M 109
doubted but such declaration M 108
domains had been grievously M 106
doubted that some misfortune M 100
domains and their interaction M 98
dollars and other currencies D 2390
dollars had been subscribed D 1644
doctors and their assistants D 1274
doctors and other specialists D 946
doctors and other scientists D 582
dollars for other currencies D 534
dollars has been subscribed D 464
doctors and other caregivers D 394
doctors and health authorities D 366
doubled and even quadrupled D 357
doctors are more interested D 350
doctors who were interested D 297
doctors who have specialized D 266
doublet and their integrated D 250
dollars due from southerners D 228
doctors and other professions D 228
doctors and health facilities D 220
doctors and some protestant D 210
domains and their respective D 208
dollars had been squandered D 204
doubted that such legislation D 176
doctors who have prescribed D 152
doubted that some scandalous D 150
dollars and such securities D 138
dollars for some benevolent D 128
doctors and their attendants D 124
doctors and other attendants D 122
doctors and other interested D 116
doctors and other authorities D 116
doctors had great difficulty D 114
doctors are very optimistic D 114
doctors and their supporters D 112
dollars out into circulation D 108
dollars had been contracted D 106
doctors who were specialists D 106
doubted that these convictions D 100
doctors who have experience D 100
doctors are only interested D 100
doctors and health specialists D 98
doorway was left unfastened D 96
dollars for your retirement D 96
dollars for land acquisition D 96
doctors who have specialised D 94
doctors and their specialties D 94
doctors and other categories D 94
doctors may have difficulty D 92
doctors and other technicians D 92
doctors and other scientific D 86
dollars for life membership D 84
dollars was soon subscribed D 82
dollars had been sacrificed D 82
doctors for more information D 82
