do children whose parents M 486
do multiply where walkers M 112
do likewise under similar M 94
do remember quite vividly M 92
do domestic firms benefit D 909
do otherwise would require D 884
do otherwise would involve D 512
do otherwise would deprive D 224
do otherwise would destroy D 222
do otherwise would endanger D 154
do semantic priming effects D 148
do servants often exhibit D 136
do otherwise would increase D 132
do feminist ethics counter D 119
do otherwise would subject D 112
do otherwise would suggest D 110
do minority group members D 110
do otherwise would produce D 108
do otherwise would subvert D 100
do juvenile birds survive D 96
do otherwise would provide D 92
do otherwise would distort D 90
