offends against every part M 1100
offered several times during M 281
officer murders occur when M 158
officer entered fully into M 90
official exchange rates were D 900
official reports which have D 398
official reports which were D 360
official position would have D 344
official records which have D 214
official exchange rates have D 206
official records which were D 200
official language would have D 148
official minimum daily wage D 147
official members shall have D 140
official position which gave D 130
official capital flows from D 128
official figures which were D 126
official exchange rates from D 122
official central daily news D 118
official letters which were D 114
official history would have D 114
official figures taken from D 110
official position would give D 100
official gazette shall have D 96
official position which made D 94
official members drawn from D 94
official ideology would have D 92
official figures which show D 90
offered himself would have D 88
official reports would have D 86
official letters which have D 84
offered courses which were D 84
offspring shortly after birth D 40
