basically unchanged for hundreds M 88
ballistic missiles and chemical D 814
ballistic missiles with multiple D 410
barbarous invaders and military D 390
ballistic missiles and aircraft D 250
barbarians expected his approach D 228
barbarous sentence was executed D 174
barbarous ferocity with elevated D 164
barbarous treatment they received D 150
battalions inflamed and inspired D 122
ballistic missiles and possibly D 112
ballistic missiles with chemical D 110
ballistic missiles and advanced D 105
ballistic missiles are deployed D 104
ballistic pendulum was invented D 88
barbarous proposal was assented D 82
