barely any difference between M 204
battle for individual liberty M 142
battle for individual freedom M 139
battle with distracted parties M 138
battle and subsequent pursuit M 118
battle was apparently decided M 102
battle being absolutely decided M 90
battle with disastrous results M 84
battle was essentially between M 82
banker and government official D 225
battle for indecorous mastery D 194
baffle his treasonable purpose D 170
barbed with accusations against D 118
battle for ascendancy between D 108
barker had afterwards realized D 96
basely and maliciously brought D 84
baited with undeserved enemies D 82
