youth he accompanied his M 274
youth an opportunity for M 236
youth the opportunity for M 208
youth is complicated with M 134
youth as troublesome and M 122
youth as individuals and M 110
youth an understanding and M 104
youth to communicate with M 86
youth in conversation with M 84
yoke of superstition and D 704
york is responsible for D 306
yoke of exploitation and D 268
york to investigate and D 257
young is responsible for D 234
york in partnership with D 232
youth is responsible for D 224
youth in agriculture and D 168
york to communicate with D 168
york the legislature has D 135
york to collaborate with D 116
youth by conscription for D 110
young of butterflies and D 108
york in consultation with D 108
york to superintend its D 96
yoke of subscription and D 94
youth in partnership with D 84
york is experimenting with D 82
youth to participate with D 80
youth the quarrelsome and D 80
york as headquarters for D 80
