younger son gathered all M 4450
younger than himself and M 3600
younger and stronger than M 3478
younger than herself and M 1858
younger and stronger men M 1560
younger and stronger man M 1528
younger than himself who M 1374
younger and healthier than M 1346
younger and happier than M 782
younger and stronger and M 756
younger than herself who M 548
younger and shorter than M 472
younger than himself but M 382
younger than himself that M 331
younger than himself was M 272
younger age profile than M 228
younger than himself with M 218
younger than average age M 216
younger than himself for M 208
younger than herself that M 206
younger than average and M 206
younger and lighter than M 206
younger and lighter and M 206
younger than himself had M 200
younger than herself was M 200
younger and healthier and M 184
younger age classes and M 178
younger men because they M 176
younger age classes are M 160
younger than sixteen and M 144
younger than herself but M 142
younger than college age M 140
younger than herself she M 138
younger and quicker than M 136
younger than herself had M 132
younger age because they M 130
younger than fifteen and M 124
younger and healthier you M 120
younger than average for M 114
younger one replied that M 114
younger and happier and M 112
younger and wealthier than M 110
younger and healthier men M 110
younger and tougher than M 106
younger and simpler than M 102
younger than herself for M 100
younger and stronger then M 100
younger age profile and M 98
younger man resumed his M 94
younger man watched him M 92
younger than herself with M 90
younger and healthier man M 90
younger man laughed and M 88
younger man dropped his M 86
younger than married men M 82
younger man watched with M 82
younger was carried off M 80
younger man stepped out M 59
younger and smaller than D 3430
younger and fresher than D 1034
younger and smaller and D 300
younger and slimmer than D 262
younger and fresher and D 244
younger and blonder and D 196
younger and smarter than D 192
younger age cohorts are D 192
younger age cohorts and D 182
yogurt and garnish with D 170
yonder and worship and D 150
younger and slimmer and D 118
younger and smaller man D 110
younger was warlike and D 102
younger and stouter man D 98
younger and smaller boy D 90
younger and greener than D 90
younger age cohorts than D 88
yonder are chariots and D 86
younger and fresher men D 84
younger and frailer than D 84
younger man shifted his D 80
yonder two knights had D 68
younger and smaller one D 53
