railroads came into existence D 204
railroads have been projected D 189
railroads have been permitted D 178
rationales have been suggested D 162
railroads have been developed D 146
railroads have been completed D 144
radically from those previously D 134
railroads were more important D 122
railroads have been subjected D 120
rationales have been developed D 118
railroads have been compelled D 114
radically from those described D 108
radically over time indicates D 98
railroads made their appearance D 94
railroads have been especially D 92
railroads have been regulated D 90
railroads have been favorably D 80
