rationality rather than tradition M 104
randomized trials that compared D 406
randomized trials are required D 338
randomized study that compared D 249
radiotherapy alone for patients D 237
radiotherapy alone for advanced D 165
randomized trials that included D 155
randomized trials are underway D 141
radioactive iodine for treatment D 134
radioactive atoms are produced D 133
radioactive decay are commonly D 120
radioactive gases for clinical D 119
radiocarbon dates was obtained D 118
radioactive decay has occurred D 110
randomized study has compared D 108
radiocarbon dates are reported D 108
rationality moves and inclines D 94
randomized study was designed D 92
radioactive atoms are unstable D 83
radioactive waste for disposal D 47
