ran quite another way M 676
ran right through him M 438
ran right through his M 432
ran right through her M 418
ran quick through all M 353
ran right through them M 316
ran about laughing and M 310
ran right through our M 256
ran right across our M 220
ran right across his M 216
ran right behind him M 198
ran about searching for M 180
ran close behind him M 178
ran sadly through that M 174
ran right through this M 122
ran right through that M 122
ran right through all M 114
ran focus groups with M 104
ran right across her M 96
ran right through its M 84
ran right through one M 81
ran fingers through his D 1496
ran fingers through her D 632
rat liver slices and D 581
rat liver nuclei and D 461
ray passing through this D 400
raw water supply and D 400
rat brain slices and D 382
ray rocking curves for D 361
rang twice before she D 332
ran about shouting and D 286
rat under normal and D 282
rat brain regions and D 270
raw water source for D 260
raw water supply for D 254
rang again before she D 252
rat liver treated with D 202
rat brain cortex and D 196
ray passing through them D 195
rat liver slices was D 186
raw score points for D 182
ray streak camera with D 172
raw fresh fruits and D 172
rat renal cortex and D 171
rat liver showed that D 168
raw human nature and D 166
rat liver tissue and D 158
rat liver nuclei with D 151
rat liver nuclei was D 151
rat brain tissue and D 150
raw water source and D 146
rat brain cortex with D 144
ray rocking curves and D 139
ray light curves for D 138
raw edges matching and D 136
rat liver slices with D 132
ran about screaming and D 128
raw score points and D 124
rat liver enzyme has D 123
raw water intake and D 120
rat brain showed that D 120
ray passing through two D 117
rang twice before being D 116
rat brain nuclei and D 114
ray light curves are D 112
ray passing through one D 110
ray films showed that D 110
ray passing through that D 108
rat brain tissue was D 108
rat brain reveals its D 108
ray passing through any D 102
raw score greater than D 102
rat hearts treated with D 102
ram would convey them D 102
ram whose fleece was D 102
ray tracing methods are D 96
ray study showed that D 95
rat liver enzyme was D 93
raw edges inside and D 90
raw score totals for D 88
raw score values are D 86
rat liver cyclic amp D 86
rat brain slices was D 82
ray imaging system that D 61
ray imaging system for D 54
rat model showed that D 52
