deep poverty abounded unto M 1409
debt service payments were M 994
debt service payments have M 790
debt service payments will M 638
debt service payments from M 572
depth profile obtained from M 325
debt service payments over M 280
deaths resulting directly from M 266
debt service increased from M 252
deep channel directly from M 246
debt service payments made M 200
debt service payments during M 170
deny summary judgment when M 132
debt service payments must M 102
deep silence followed these M 96
debt service payments plus M 90
debt service coverage ratio D 6155
debt service payments rose D 210
debt service actually paid D 194
debt servicing increased from D 82
