deep wounds inflicted upon M 208
depth became gradually less M 102
debt burden inherited from M 88
deep venous thrombosis during D 442
deep venous thrombosis have D 292
deep venous thrombosis among D 236
deep venous thrombosis from D 220
deep venous thrombosis were D 204
deep venous thrombosis will D 162
deep venous thrombosis risk D 152
deer stroll peacefully past D 145
deep venous thrombosis deep D 138
dealt another devastating blow D 130
deep venous thrombosis when D 100
deep venous thrombosis must D 98
debt without squandering their D 90
deep almost murderous anger D 45
