deem otherwise than worthless M 638
dealing directly with problems M 482
deep religious and cultural M 471
deep interest and attention M 452
deep cultural and religious M 448
deep suspicion and distrust M 445
deep distrust and suspicion M 428
debt capacity and developing M 341
deep interest and affection M 324
deep suspicion and mistrust M 310
deep interest and curiosity M 294
deep personal and emotional M 280
deep affection for children M 258
deals directly with problems M 248
deep attention and interest M 242
dealing directly with children M 240
deep mistrust and suspicion M 222
dealing directly with students M 208
dealt directly with problems M 202
deep interest and surprise M 194
deep instinct for survival M 188
debt security that promises M 184
deep humility and patience M 172
deep affection and profound M 160
dealing directly with questions M 156
deals directly with questions M 153
deep interest was awakened M 150
deep attention and apparent M 148
deep personal and cultural M 146
debt incurred for personal M 140
dealing directly with conflict M 126
deep religious and mystical M 118
deep internal and external M 116
deep emotional and religious M 114
debt incurred for purposes M 114
deep capacity for affection M 112
deep midnight now involves M 108
dealing directly with specific M 108
dealing directly with religious M 108
depth profiles are obtained M 106
deep interest and profound M 106
dealt directly with questions M 102
dealt directly with children M 102
debt payments and interest M 100
deny recovery for emotional M 98
dealing directly with education M 98
deals directly with specific M 93
deep emotional and symbolic M 92
deep cultural and personal M 92
dealing directly with industry M 88
deep external and internal M 86
deep curiosity and interest M 86
deep cultural and emotional M 80
deed indented and enrolled D 959
deep reflexes are increased D 701
deck officers and engineers D 544
deep physical and emotional D 452
dealing directly with patients D 372
deep emotional and physical D 368
debt situation and financial D 363
depth coverage and analysis D 294
deep interest and enthusiasm D 286
debt discount and expenses D 259
deep economic and financial D 254
deep guttural was expected D 242
debt reduction and economic D 211
deep recession that followed D 210
deep cultural and economic D 206
deep economic and cultural D 202
deny economic and military D 178
deep pressure and vibration D 178
deep enthusiasm for humanity D 178
depth analysis and critique D 166
deep cultural and linguistic D 156
deep financial and economic D 154
deep erudition and abstruse D 146
deed executed and recorded D 139
deep affection that stalwart D 136
dealt directly with economic D 134
dealing directly with politics D 134
dealing directly and honestly D 130
deans informed his daughter D 124
deep humility and timidity D 122
deed appointing new trustees D 118
deep religious and patriotic D 116
dell romantic and beautiful D 113
deals directly with patients D 110
deep discount and redeemed D 108
deep linguistic and cultural D 106
defy suspicion and challenge D 102
deep reflexes and positive D 100
dealing seriously with symptoms D 100
deep humility and adoration D 98
dealing directly with economic D 96
dealing directly with financial D 90
deep reflexes and muscular D 84
deep trenches with vertical D 82
deep distress and privation D 82
dealt directly with military D 82
deep fissures and crevices D 80
deep financial and emotional D 80
