dwindle and die out D 725
dwellings that are not D 452
dwellings that did not D 276
dwellings are but two D 246
dweller who does not D 232
dwindling oil and gas D 189
dwellings are now being D 160
dwarfed all that had D 154
dweller who has not D 150
dweller who can not D 146
dwellings and did not D 108
dwellings for men and D 98
dwellings are neat and D 98
dweller who did not D 94
dwellings that are now D 90
dwellings are few and D 90
dwellings that can not D 86
dwellings that are being D 84
dwellings and are not D 84
dwellings are old and D 82
dwellings few and far D 80
dwellings are all that D 41
