dwindled to fewer than D 1804
dwellers in towns and D 1144
dwindled to about one D 675
dwellers in caves had D 464
dwellers in tents and D 370
dwindled to about two D 256
dwellers in caves and D 220
dwellers in close and D 190
dwellers in field and D 188
dwellers in heaven and D 184
dwellers in towns are D 164
dwindled to about ten D 154
dwellers of heaven and D 136
dwellers of towns and D 124
dwindled to about six D 119
dwellers in towns who D 118
dwindled in power and D 116
dwellers in towns for D 116
dwindled to notes and D 104
dwellers in flats and D 86
dwellers in heaven are D 82
dwellers in towns that D 46
