joined by participants from M 92
joined the revolutionary army D 3040
joined the parliamentary army D 946
joined the international union D 430
joined the international bank D 184
joined in indissoluble union D 168
joined the parliamentary side D 160
joined the independence club D 156
joined the revolutionary camp D 144
joined the conservative club D 128
joined the metropolitan club D 122
joined the revolutionary youth D 110
joined the cosmopolitan club D 88
joined the congregational union D 82
