jobs that traditionally had M 108
jobs and accommodation and M 106
jobs and accommodation for M 90
joys and satisfactions that D 442
jobs and organizations that D 255
jobs and organizations are D 156
jobs and scholarships for D 152
john was dissatisfied with D 132
john was disappointed that D 128
jobs are incompatible with D 122
join with noncriminals for D 120
jobs not commensurate with D 120
jobs and relationships and D 118
jobs for professionals and D 106
jobs and scholarships and D 102
jobs and relationships that D 94
jobs and organizations and D 88
jobs and unemployment are D 84
jobs for constituents and D 82
jobs and relationships with D 82
joys and satisfactions and D 80
