smartened up for the D 374
smallness of man in D 336
smoothness of one of D 308
smoothness is due to D 286
smallness of all the D 229
smallness is due to D 169
smoothness is not the D 166
smoothness of both the D 122
smugglers to bring in D 114
smoothness is one of D 112
smoothness of all the D 104
smallness of one or D 104
smallness of one of D 104
smallness is that it D 98
smoothness in men is D 94
smallness by way of D 92
smallness of both the D 90
smallness of each of D 88
smoothness is that the D 86
smoothness so that the D 80
smallness is one of D 40
